Year,Wandering Albatross,Black-browed Albatross,Grey-headed Albatross
1963,11,,
1964,12,,
1965,26,,
1966,25,,
1967,24,,
1968,28,,
1969,11,,
1970,13,,
1971,13,,
1972,16,,
1973,14,,
1974,,,
1975,15,,
1976,10,,
1977,7,,
1978,11,,
1979,6,,
1980,8,,
1981,5,,
1982,8,,
1983,4,,
1984,4,,
1985,2,,
1986,6,,
1987,4,,
1988,8,,
1989,8,,
1990,7,,
1991,7,,
1992,8,,
1993,6,,
1994,6,,
1995,10,37,67
1996,10,38,83
1997,11,40,72
1998,9,41,66
1999,15,45,79
2000,7,46,65
2001,12,39,72
2002,13,39,75
2003,11,43,74
2004,13,45,95
2005,6,45,62
2006,10,50,86
2007,10,46,94
2008,5,41,60
2009,13,48,96
2010,4,46,97
2011,9,45,67
2012,6,26,76
2013,6,42,69
2014,7,44,88
2015,5,46,58
2016,5,42,100
2017,5,49,66
2018,6,44,114
2019,3,42,61
2020,10,47,113
2021,7,,
