Year,Burn,Bash
1990.405479,429.4,476.8
1991.016438,276.1,297.8
1992.401639,367.5,361.9
1993.046575,310.9,374.9
1994.49589,333,408
1994.890411,260.2,259.2
1996.442623,334.5,339.1
1999.013699,284.2,306.3
1999.509589,406.2,424.2
1999.953425,375.9,411.4
2000.379781,404.5,434.5
2000.967213,333.8,330.7
2001.364384,365.5,393.2
2002.367123,378.3,371.8
2004.327869,272.3,316.8
2009.287671,306.9,318.2
2010.243836,400.8,415.5
2011.358904,397.5,403.9
2017.29863,336.175,356.55
2018.183562,377.775,344.75
2019.161644,349.225,296.175
