Year,With trees,Without trees
1971,20419.59,20490.91
1972,18924.44,18427.11
1973,20419.59,20490.91
1974,20419.59,20490.91
1975,20419.59,20490.91
1976,18633.44,17777.73
1977,20419.59,20490.91
1978,20391.09,19069.15
1979,20097.86,18995.07
1980,20242.8,20143.38
1981,20419.59,20490.91
1982,19712,18652.43
1983,20419.59,19722.61
1984,20419.59,20244.17
1985,20403.81,20075.11
1986,19651.78,19607
1987,17773.89,16936.69
1988,18846.09,18696.13
1989,20419.59,20490.91
1990,19571.28,18547.61
1991,18306.02,18013.81
1992,19845.2,19778.22
1993,19432.24,18813.19
1994,18192.12,17109.32
1995,19706.38,19655.33
1996,20419.59,20490.91
1997,20290.57,19241.93
1998,18817.78,17860.81
1999,20419.59,20455.13
2000,19459.37,18981.77
2001,20419.59,19749.14
2002,18027.63,17161.32
2003,20419.59,20429.17
2004,19294.41,18888.79
2005,18958.1,18459.96
2006,18212.11,17324.63
2007,17896.89,17045.58
2008,18171.47,17097.62
2009,19485.23,18873.27
2010,20419.59,20490.91
2011,20419.59,20490.91
2012,20419.59,20478.24
2013,19990.38,19709.11
2014,20419.59,19481.28
2015,18565.05,17637.08
2016,19306.21,19103.44
2017,19797.74,18802.43
2018,20419.59,20490.91
2019,20121.18,19069.6
2020,19982.42,19498.92
2021,19896.37,19252.12
2022,18554.3,17831.77
